ID	DOCULECT	CONCEPT	TOKENS	IPA
233	Turkmen	one	b i r	bir
234	Uyghur	one	b i r	bir
235	Uzbek	one	b i r	bir
236	Yakut	one	b iː r	bi:r
237	Kazakh	person	k ĭ s ĭ	kɘsɘ
238	Kyrgyz	person	k i ʃ i	kiʃi
239	Turkish	person	k i ʃ i	kiʃi
240	Uyghur	person	k i ʃ i	kiʃi
241	Uzbek	person	k i ʃ i	kiʃi
242	Yakut	person	k i h i	kihi
243	Chuvash	person	ɕ ɯ n	ɕɯn
244	Chuvash	root	t ɯ m a r	tɯmar
245	Kazakh	root	t a m ɯ r	tamɯr
246	Kyrgyz	root	t a m ɯ r	tamɯr
247	Uyghur	root	t o m u r	tomur
248	Uzbek	root	i l d i z	ildiz
249	Yakut	root	s i l i s	silis
250	Azerbaijani	root	k ø k	køk
251	Turkish	root	k ø k	køk
252	Turkmen	root	k ø k	køk
253	Azerbaijani	seed	gʲ ø r	gjør
254	Chuvash	seed	k u r	kur
255	Kazakh	seed	k ø r	kør
256	Kyrgyz	seed	k ø r	kør
257	Turkish	seed	g ø r	gør
258	Turkmen	seed	g ø r	gør
259	Uyghur	seed	k ø r	kør
260	Uzbek	seed	k o r	kor
261	Yakut	seed	k ø r	kør
262	Azerbaijani	skin	d æ r i	dɛri
263	Chuvash	skin	t i r ĭ	tirɘ
264	Kazakh	skin	t e r ĭ	terɘ
265	Kyrgyz	skin	t e r i	teri
266	Turkish	skin	d e r i	deri
267	Turkmen	skin	d e r i	deri
268	Uyghur	skin	t e r æ	terɛ
269	Uzbek	skin	t e r i	teri
270	Yakut	skin	t i r iː	tiri:
271	Azerbaijani	small	k i tɕ i k	kiʨik
272	Kazakh	small	k ĭ ʃ k e n e	kɘʃkene, kɘʃkentaj
273	Kyrgyz	small	k i ʨ i n e k e j	kiʨine(kej)
274	Turkish	small	k y tɕ y k	kyʨyk
275	Turkmen	small	k i ʨ i ʥ i k	kiʨi(ʥik)
276	Uyghur	small	k i tɕ i k	kiʨik
277	Uzbek	small	k i tɕ k i n a	kiʨkina
278	Yakut	small	k u tʃː u g u j	? kutɕ:uguj
279	Azerbaijani	tail	ɢ u j r u ɢ	ɢujruɢ
280	Chuvash	tail	χ y r e	χyre
281	Kazakh	tail	q u j r ɯ q	qŭjrɯq
282	Kyrgyz	tail	q u j r u q	qujruq
283	Turkish	tail	k u j r u k	kujruk
284	Turkmen	tail	ɢ u j r u q	ɢujruq
285	Uyghur	tail	q u j r u q	qujruq
286	Yakut	tail	k u t u r u k	kuturuk
287	Uzbek	that	o	o(ʃa)
288	Kazakh	that	a n a w	ana(w)
289	Azerbaijani	this	b u	bu
290	Kazakh	this	b u l	bŭl
291	Kyrgyz	this	b u	bu
292	Turkish	this	b u	bu
293	Turkmen	this	b u	bu
294	Uyghur	this	b u	bu
295	Uzbek	this	b u	bu
296	Yakut	this	b u	bu
297	Chuvash	this	k u	ku
298	Azerbaijani	tree	a ɣ a ʥ	aɣaǰ
299	Chuvash	tree	j ɯ v ə ɕ	jɯvə̈ɕ
300	Kazakh	tree	a ɣ a ʃ	aɣaʃ
301	Kyrgyz	tree	ʥ ɯ ɣ a ʨ	ʥɯɣaʨ
302	Turkish	tree	a ɣ a tɕ	aɣaʨ
303	Turkmen	tree	a ɣ a tɕ	aɣaʨ
304	Uyghur	tree	j a ɣ a tɕ	jaɣaʨ
305	Yakut	tree	m a s	mas
306	Azerbaijani	two	i k i	iki
307	Chuvash	two	i k ĭ	ikkɘ, igɘ, ik
308	Kazakh	two	e k ĭ	ekɘ
309	Kyrgyz	two	e k i	eki
310	Turkish	two	i k i	iki
311	Turkmen	two	i k i	iki
312	Uyghur	two	i kː i	ikki
313	Uzbek	two	i kː i	ikki
314	Yakut	two	i kː i	ikki
315	Azerbaijani	what	n æ	nɛ
316	Chuvash	what	m ĭ n	mɘn
317	Kazakh	what	n e	ne
318	Kyrgyz	what	e m n e	emne
319	Turkish	what	n e	ne
320	Turkmen	what	n æ m e	nɛme
321	Uyghur	what	n i m æ	nimɛ
322	Uzbek	what	n i m a	nima
323	Yakut	what	t u o χ	tuoχ
324	Azerbaijani	who	k i m	kim
325	Chuvash	who	k a m	kam
326	Kazakh	who	k ĭ m	kɘm
327	Kyrgyz	who	k i m	kim
328	Turkish	who	k i m	kim
329	Turkmen	who	k i m	kim
330	Uyghur	who	k i m	kim
331	Uzbek	who	k i m	kim
332	Yakut	who	k i m	kim
333	Chuvash	woman	χ ĭ r a r ə m	χɘrarə̈m
334	Azerbaijani	woman	ɢ a d ɯ n	ɢadɯn
335	Turkish	woman	k a d ɯ n	kadɯn
336	Uzbek	woman	χ ɔ t i n	χɔtin (kiʃi)
337	Azerbaijani	person	ɑ d ɑ m	ɑdɑm
338	Uzbek	tree	d a r a χ t	daraχt
339	Uzbek	bark	q ɒ b i q	qɒbiq
340	Uzbek	leaf	b a r g	barɡ
341	Uzbek	horn	m u g i z	muɡiz
342	Uzbek	tail	q u j r u q	qujruq
343	Uzbek	egg	t u χ u m	tuχum
344	Uzbek	flesh	g o ʃ t	ɡoʃt
345	Uzbek	big	b u j u k	bujuk
346	Kazakh	woman	b ɪ j k e	bɪjke
347	Chuvash	flesh	a ʂ	aʂ
348	Chuvash	small	p ɘ tɕ ɘ k	ˈpɘt͡ɕɘk
349	Chuvash	many	m i ɕ ɛ	miˈɕ̬ɛ
350	Yakut	woman	ɟ a x t a ɾ	ɟaxtaɾ
351	Yakut	many	t ø h ø	tøhø
352	Turkmen	person	u n s a n	unsan
353	Turkmen	horn	ʃ a h	Sah
